"","scores","predscores","tmhalfsc","opphalfsc","patt","ypa","comppct","int","ratt","ypr","sacks","sackyds","fum","fuml"
"2272",2.44948974278318,15.25,6,0,12,5.08333333333333,0.666666666666667,0,13,1.15384615384615,1,-10,0,0
"2273",4.79583152331272,26.25,7,20,16,6.0625,0.625,1,7,4.28571428571429,1,-8,1,0
"2274",5.19615242270663,27,17,7,16,10,0.625,0,13,3.38461538461538,1,-7,1,0
"2275",4.58257569495584,22,3,14,17,9.76470588235294,0.705882352941177,0,11,5.45454545454545,2,-14,0,0
"2276",5.56776436283002,27.5,10,13,13,9.69230769230769,0.769230769230769,0,9,4.33333333333333,0,0,0,0
"2277",3.60555127546399,21,3,9,10,2.7,0.7,0,11,2.54545454545455,2,-17,0,0
"2278",5.74456264653803,20,24,0,23,8.78260869565217,0.782608695652174,0,13,4.84615384615385,0,0,0,0
"2279",5.29150262212918,24.5,21,10,12,7.83333333333333,0.583333333333333,0,9,5.88888888888889,1,-13,0,0
"2280",4.89897948556636,29.5,3,20,27,4.33333333333333,0.555555555555556,1,8,1,0,0,0,0
"2281",1.73205080756888,22.5,0,7,15,6.26666666666667,0.6,0,9,4.77777777777778,2,-24,0,0
"2282",4.12310562561766,19,3,10,29,2.55172413793103,0.379310344827586,0,11,2.18181818181818,1,-5,0,0
"2283",4.12310562561766,23.25,3,13,10,6.2,0.6,0,14,3,1,0,0,0
"2284",4,20.75,10,17,24,6.875,0.708333333333333,0,8,1.75,0,0,0,0
"2285",5.09901951359278,19,10,7,12,8.16666666666667,0.666666666666667,0,13,5.15384615384615,1,-1,0,0
"2286",4.47213595499958,23.75,6,0,25,6.24,0.68,0,14,3.5,2,-12,1,1
"2287",3.16227766016838,22,0,17,16,3.6875,0.4375,0,7,2.42857142857143,1,-4,1,0
"2288",4.58257569495584,21,6,15,15,6.53333333333333,0.533333333333333,1,15,3.26666666666667,0,0,0,0
"2289",2.64575131106459,19,7,31,9,3.66666666666667,0.555555555555556,3,18,3.94444444444444,0,0,1,0
"2290",4.69041575982343,16.75,10,10,17,7.29411764705882,0.941176470588235,0,13,3.53846153846154,0,0,0,0
"2291",4.89897948556636,24,14,6,24,8.125,0.708333333333333,1,10,1.8,0,0,0,0
"2292",6.40312423743285,21.25,27,0,20,9.6,0.75,0,15,5.2,0,0,0,0
"2293",3.74165738677394,21.75,7,10,19,8.57894736842105,0.631578947368421,0,11,2.90909090909091,2,-13,1,1
"2294",4.12310562561766,17.5,3,20,17,5.29411764705882,0.470588235294118,1,13,2.69230769230769,2,-12,1,0
"2295",4.89897948556636,22,24,7,20,4.65,0.5,0,19,4.57894736842105,0,0,0,0
"2296",0,13.5,0,6,9,2.44444444444444,0.555555555555556,0,21,4.14285714285714,0,0,0,0
"2297",3.46410161513775,24.75,9,3,19,8.42105263157895,0.842105263157895,1,11,3.09090909090909,1,-9,0,0
"2298",5.91607978309962,25,14,10,8,11.25,0.625,0,13,5.46153846153846,1,-6,0,0
"2299",5.29150262212918,21,7,24,7,5.57142857142857,0.285714285714286,0,12,4.75,1,-2,0,0
"2300",4.89897948556636,18.25,10,9,11,8.72727272727273,0.636363636363636,0,9,1,1,-7,0,0
"2301",4.58257569495584,21.5,0,28,21,5.57142857142857,0.476190476190476,1,9,1.77777777777778,0,0,2,2
"2302",4.89897948556636,20.25,16,4,22,4.86363636363636,0.590909090909091,0,14,4.64285714285714,0,0,0,0
"2303",4.58257569495584,20.75,12,14,19,10,0.842105263157895,0,11,6.36363636363636,3,-20,0,0
"2304",6.08276253029822,21.75,17,10,14,4.35714285714286,0.428571428571429,0,13,4.23076923076923,1,-9,0,0
"2305",3.16227766016838,16.5,3,10,19,5.10526315789474,0.631578947368421,0,11,2.90909090909091,0,0,0,0
"2306",5.19615242270663,18,13,10,15,6.06666666666667,0.6,0,12,4.91666666666667,0,0,0,0
"2307",5.47722557505166,29.5,13,3,16,6.875,0.625,0,10,5,5,-37,1,0
"2308",3.16227766016838,18.5,10,14,16,2.375,0.375,2,20,3.95,1,-7,0,0
"2309",4,25.25,3,7,21,7.90476190476191,0.619047619047619,1,5,3,0,0,0,0
"2310",3.74165738677394,22,0,3,11,3.27272727272727,0.454545454545455,0,9,2.55555555555556,2,-8,0,0
"2311",4.58257569495584,27.75,7,14,21,8.38095238095238,0.761904761904762,0,14,7.14285714285714,1,-11,3,2
"2312",4.47213595499958,20,10,17,32,6.59375,0.6875,0,12,3.33333333333333,0,0,2,1
"2313",5.56776436283002,20,10,7,20,6.7,0.55,0,13,4.46153846153846,0,0,1,0
"2314",3.16227766016838,19.75,0,10,11,3.90909090909091,0.636363636363636,0,7,2.71428571428571,2,-11,0,0
"2315",4.47213595499958,16.25,13,10,24,5.04166666666667,0.666666666666667,0,11,2.54545454545455,1,-5,0,0
"2316",3.60555127546399,25.25,10,3,24,9.70833333333333,0.583333333333333,1,13,3.61538461538462,0,0,1,0
