"","X1","h_scores","h_predscore","h_hlfscore","a_hlfscore","h_airya","h_yaca","h_psd","h_patt","h_comppct","h_ratt","h_rushsd","h_ypr","h_int_pct","h_sack_pct","h_sack_yd_pct","h_fum_pct","ot","a_scores","a_predscore","a_airya","a_yaca","a_psd","a_patt","a_comppct","a_ratt","a_rushsd","a_ypr","a_int_pct","a_sack_pct","a_sack_yd_pct","a_fum_pct"
"345",345,30,24.5,20,3,4.78260869565217,3.69565217391304,10.3915051605331,23,0.826086956521739,14,5.89923896855885,4.64285714285714,0,0,0,0,0,34,22,1.69565217391304,2.1304347826087,7.89905448318943,23,0.391304347826087,6,6.37704215656966,5,0.0434782608695652,0,0,0
"346",346,49,29.25,28,17,6.28571428571429,4.52380952380952,13.168232369988,21,0.761904761904762,11,4.74994562822296,4.27272727272727,0,0.0454545454545455,-0.409090909090909,0,0,23,17.25,8.9375,0.904761904761905,12.6655701279756,16,0.75,13,7.3637525807842,5.92307692307692,0.0625,0,0,0
"347",347,10,18,10,14,3.5,3.375,11.6054943884352,24,0.5,8,4.31385848168435,2.875,0,0.0769230769230769,-0.692307692307692,0.0294117647058824,0,23,27,2.77777777777778,4.91666666666667,7.08007768318964,27,0.740740740740741,11,6.13619528388589,7.27272727272727,0.037037037037037,0,0,0
"348",348,22,18.5,9,7,1.8,4.8,12.2875699387633,15,0.533333333333333,17,4.28241758192972,3.88235294117647,0,0.117647058823529,-0.764705882352941,0,0,17,21.5,7.08333333333333,2.66666666666667,14.4640892054498,12,0.75,15,4.41008944227766,4.53333333333333,0.0833333333333333,0.0769230769230769,-0.384615384615385,0.0714285714285714
"349",349,26,26,13,10,6.36842105263158,3.68421052631579,15.243767545446,19,0.736842105263158,7,4.73372615022311,4.85714285714286,0,0.05,-0.2,0.037037037037037,0,16,19,4.46153846153846,2.84210526315789,8.2662312157595,13,0.846153846153846,15,4.91889779885246,3.26666666666667,0.0769230769230769,0.0714285714285714,-0.428571428571429,0
"350",350,28,16.5,7,24,7.28571428571429,2.21428571428571,16.3320046228257,14,0.571428571428571,6,1.95078331845327,0.833333333333333,0.0714285714285714,0,0,0.05,0,30,22.5,3.33333333333333,6.71428571428571,8.06613290245084,21,0.761904761904762,22,4.80185914408882,4.18181818181818,0,0,0,0
"351",351,10,20.5,0,14,1.83333333333333,2.22222222222222,7.6426435217142,18,0.555555555555556,14,3.4226138716317,3,0,0.142857142857143,-0.428571428571429,0.0285714285714286,0,17,23.5,4.5625,0.833333333333333,6.08276253029822,16,0.5,14,5.2707316612495,5.07142857142857,0,0,0,0
"352",352,14,23.25,14,6,2.38461538461538,3.76923076923077,4.52769256906871,13,0.615384615384615,13,5.98716576070463,5,0,0,0,0,0,25,29.75,3.5625,5.38461538461539,9.27773619418492,16,0.75,10,3.72155881318568,4.5,0,0.111111111111111,-0.666666666666667,0.0357142857142857
"353",353,27,22.5,13,20,4.72727272727273,4.36363636363636,17.7544986474477,11,0.545454545454545,7,22.5813721316252,15.7142857142857,0.0909090909090909,0.0833333333333333,-0.416666666666667,0.0526315789473684,0,30,29,5.08333333333333,7.09090909090909,5.96181263346503,24,0.75,17,5.63110491471733,3.76470588235294,0,0.0769230769230769,-0.615384615384615,0.0232558139534884
"354",354,34,24.25,28,3,3.33333333333333,1.91666666666667,4.76313972081441,12,0.333333333333333,17,6.45291704644531,6.35294117647059,0,0.0769230769230769,-0.692307692307692,0,0,10,20.75,3.09090909090909,3,4.25042535547671,22,0.5,15,2.81582827759238,2.73333333333333,0.0454545454545455,0.0833333333333333,-1.04166666666667,0.0512820512820513
"355",355,48,22.25,24,3,6.63636363636364,1.72727272727273,6.47216261298253,11,0.545454545454545,14,7.64385841238385,6,0.0909090909090909,0,0,0.04,0,3,19.25,2.5,4.18181818181818,9.86356933366416,22,0.454545454545455,13,2.36593176911226,3.69230769230769,0.0909090909090909,0.0434782608695652,-0.173913043478261,0
"356",356,31,26.5,14,10,3.75,3.16666666666667,7.05226027596827,12,0.666666666666667,16,7.95986023746648,5.125,0,0,0,0,0,17,23,4.76470588235294,3.75,7.54819227441712,17,0.647058823529412,13,5.14637805651622,5.76923076923077,0.0588235294117647,0.0555555555555556,-0.166666666666667,0.0645161290322581
"357",357,29,25.25,10,7,3.73684210526316,2.94736842105263,3.75048206267932,19,0.578947368421053,11,2.41209075662211,2,0.0526315789473684,0.0952380952380952,-0.761904761904762,0.03125,0,14,18.25,3.55555555555556,1.57894736842105,5.21124023562419,18,0.611111111111111,15,4.34306599330729,4.06666666666667,0,0.1,-0.65,0.0285714285714286
"358",358,39,22.25,26,3,6.3,3.35,11.8332375199724,20,0.7,12,5.95060687848073,5.91666666666667,0,0,0,0.03125,0,10,19.75,5.15,1.75,7.90948797331408,20,0.75,13,2.23474446866676,1.92307692307692,0,0.0476190476190476,-0.333333333333333,0
"359",359,19,25,10,12,3.17391304347826,1.60869565217391,5.39958846168442,23,0.652173913043478,10,4.15812457725836,4.1,0,0.08,-0.72,0,0,25,20,2.06666666666667,2,4,15,0.733333333333333,12,12.6784484679931,7.08333333333333,0,0.0625,-0.4375,0.0357142857142857
"360",360,24,30.75,24,3,7.53333333333333,8.06666666666667,23.9662296844801,15,0.733333333333333,12,4.55216676124922,3.66666666666667,0,0.0625,-0.4375,0,0,3,16.75,2.39130434782609,7.46666666666667,10.633265092652,23,0.608695652173913,13,4.01034166084218,5.38461538461539,0,0.08,-0.6,0
"361",361,20,30.75,13,10,2.78571428571429,7.07142857142857,11.6344316577992,14,0.714285714285714,11,4.69217741838689,4.72727272727273,0.0714285714285714,0.125,-0.8125,0.037037037037037,0,16,23.75,2.63157894736842,6.28571428571429,8.27915325973767,19,0.684210526315789,15,2.84409720102687,2.33333333333333,0.0526315789473684,0.05,-0.3,0.0285714285714286
"362",362,24,25.75,14,7,3.45454545454545,1.27272727272727,6.0736223860962,11,0.545454545454545,19,5.83000168675705,5.10526315789474,0,0.0833333333333333,-0.0833333333333333,0.032258064516129,0,17,19.25,2.35294117647059,3.54545454545455,6.69145053064593,17,0.411764705882353,13,2.52795026540846,2.61538461538462,0,0.0555555555555556,-0.555555555555556,0
